,companyname,year,country,bvdidnumber,dbdunsnumber,countryisocode,tfp_available
14765,FRANZ FRIPERTINGER GESELLSCHAFT M.B.H.,2001,Austria,AT9030004524,NA,AT,0
14804,AGRA TAGGER KRAFTFUTTERWERKE UND MUEHLEN AG,2001,Austria,AT9030004749,NA,AT,0
14829,KÖLBL-BAU, BETONFERTIGTEIL-MONTAGE, AUTOKRANVERLEIH GESELLSCHAFT M.B.H.,2001,Austria,AT9030004903,NA,AT,1
15006,LEYKAM MEDIEN AKTIENGESELLSCHAFT,2001,Austria,AT9030005978,NA,AT,0
15427,BREITENFELD EDELSTAHL AKTIENGESELLSCHAFT,2001,Austria,AT9030009893,NA,AT,1
15535,ANDRITZ AG,2001,Austria,AT9030011229,NA,AT,1
15626,BRAU-UNION AG,2001,Austria,AT9030012711,NA,AT,1
15644,KALTENEGGER-TRANSPORT- GESELLSCHAFT M.B.H.,2001,Austria,AT9030012978,NA,AT,0
15672,BOXMARK LEATHER GMBH & CO.KG,2001,Austria,AT9030013036,NA,AT,0
15824,ATB AUSTRIA ANTRIEBSTECHNIK AG,2001,Austria,AT9030014121,NA,AT,1
15867,AUSTRIAMICROSYSTEMS AG,2001,Austria,AT9030014397,NA,AT,1
15898,STAHL- UND WALZWERK MARIENHÜTTE GESELLSCHAFT M.B.H.,2001,Austria,AT9030014800,NA,AT,1
16697,STAHL - FASSADEN UND LÜFTUNGSBAU - GMBH,2001,Austria,AT9030019388,NA,AT,1
17578,KÖNIG MASCHINEN GESELLSCHAFT M.B.H.,2001,Austria,AT9030027350,NA,AT,0
17754,STEIREROBST AG,2001,Austria,AT9030029452,NA,AT,1
17906,LEAR CORPORATION AUSTRIA GESMBH & CO KG,2001,Austria,AT9030032070,NA,AT,1
18498,AUSTRIA EMAIL AG,2001,Austria,AT9030037523,NA,AT,1
19326,GAW PILDNER-STEINBURG GMBH NFG & CO KG,2001,Austria,AT9030050135,NA,AT,1
19522,J. HORNIG GMBH,2001,Austria,AT9030052054,NA,AT,1
19579,SPEZIALPAPPENFABRIK ROSEGG BETRIEBS GMBH,2001,Austria,AT9030052510,NA,AT,0
20101,TESMA MOTOREN- UND GETRIEBETECHNIK GES.M.B.H.,2001,Austria,AT9030059227,NA,AT,1
20161,HMT UMFORMTECHNIK AG,2001,Austria,AT9030059945,NA,AT,0
21152,PROALPHA SOFTWARE AUSTRIA GES. MBH,2001,Austria,AT9030074587,NA,AT,0
21271,AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK AG,2001,Austria,AT9030075698,NA,AT,1
21580,VOESTALPINE SCHIENEN GMBH,2001,Austria,AT9030078766,NA,AT,1
21659,PANKL RACING SYSTEMS AG,2001,Austria,AT9030079625,NA,AT,1
22072,LOGICDATA ELECTRONIC & SOFTWARE ENTWICKLUNGS GMBH,2001,Austria,AT9030084019,NA,AT,0
23105,WILFLING HOCH- UND TIEFBAU GMBH,2001,Austria,AT9030096776,NA,AT,0
23378,AE ENERGIETECHNIK,2001,Austria,AT9030099299,NA,AT,0
23489,MAGNA STEYR FAHRZEUGTECHNIK AG & CO KG,2001,Austria,AT9030100442,NA,AT,1
23514,BÖHLER EDELSTAHL GMBH & CO KG,2001,Austria,AT9030100927,NA,AT,0
24146,NECKERMANN BETEILIGUNGS GMBH,2001,Austria,AT9030107003,NA,AT,0
24293,JOWOOD PRODUCTIONS SOFTWARE AG,2001,Austria,AT9030108179,NA,AT,0
24996,MAGNA PRESSTEC AG,2001,Austria,AT9030113798,NA,AT,1
25852,NKT CABLES GMBH,2001,Austria,AT9030122734,NA,AT,1
30662,THÖNI INDUSTRIEBETRIEBE GMBH,2001,Austria,AT9050002508,NA,AT,1
31007,MPREIS WARENVERTRIEBS GMBH,2001,Austria,AT9050005594,NA,AT,0
31141,GE JENBACHER AG,2001,Austria,AT9050006917,NA,AT,1
31679,SANDOZ GMBH,2001,Austria,AT9050012770,NA,AT,1
31934,ADOLF DARBO AKTIENGESELLSCHAFT,2001,Austria,AT9050015179,NA,AT,1
32456,GIESSWEIN WALKWAREN AKTIENGESELLSCHAFT,2001,Austria,AT9050021275,NA,AT,1
32604,HOCH- TIEF- BAU- IMST GESELLSCHAFT M.B.H.,2001,Austria,AT9050023057,NA,AT,0
33792,ALPEN STRAßEN AKTIENGESELLSCHAFT,2001,Austria,AT9050042584,NA,AT,0
34580,ZIMA TECHNIK BAUGESELLSCHAFT MBH,2001,Austria,AT9050055121,NA,AT,0
35062,CHI ELECTRONICS AG IN ABWICKLUNG,2001,Austria,AT9050064371,NA,AT,0
35810,FERATEL MEDIA TECHNOLOGIES AG,2001,Austria,AT9050075182,NA,AT,0
40129,VOESTALPINE STAHL SERVICE CENTER GMBH,2001,Austria,AT9070000374,NA,AT,1
40323,BOSCH REXROTH GMBH,2001,Austria,AT9070001537,NA,AT,0
40348,FISCHER GESELLSCHAFT M.B.H.,2001,Austria,AT9070001703,NA,AT,1
40443,GEA HAPPEL GESELLSCHAFT M.B.H. & CO. KG,2001,Austria,AT9070002045,NA,AT,0
40553,E V GROUP E.THALLNER GMBH,2001,Austria,AT9070002577,NA,AT,1
40613,,2001,Austria,AT9070002832,NA,AT,0
40670,AREVA T&D AUSTRIA AG,2001,Austria,AT9070003070,NA,AT,1
40694,LAGERHAUSGENOSSENSSCHAFT ROHRBACH REGISTRIERTE GENOSSENSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9070003226,NA,AT,0
40887,VEREINIGTE FETTWARENINDUSTRIE GESELLSCHAFT M.B.H.,2001,Austria,AT9070004100,NA,AT,1
40909,LENZING AG,2001,Austria,AT9070004112,NA,AT,1
41122,,2001,Austria,AT9070005211,NA,AT,0
41158,VOESTALPINE STAHL GMBH,2001,Austria,AT9070005374,NA,AT,1
41168,VOEST-ALPINE AG,2001,Austria,AT9070005375,NA,AT,1
41344,ERNST DENKMAYR GESELLSCHAFT M. B. H.,2001,Austria,AT9070006107,NA,AT,0
41374,BWT AG,2001,Austria,AT9070006286,NA,AT,1
41487,,2001,Austria,AT9070006625,NA,AT,0
41527,MIBA SINTER AUSTRIA GMBH,2001,Austria,AT9070006843,NA,AT,1
41712,PANASONIC ELECTRIC WORKS ELECTRONIC MATERIALS EUROPE GMBH,2001,Austria,AT9070007669,NA,AT,1
41750,SCHACHERMAYER -GROSSHANDELSGESELLSCHAFT M.B.H.,2001,Austria,AT9070007894,NA,AT,0
41837,,2001,Austria,AT9070008126,NA,AT,0
41908,ROSENBAUER INTERNATIONAL AG,2001,Austria,AT9070008375,NA,AT,1
41970,BORTENSCHLAGER - BAUUNTERNEHMEN KARL HAGELMÜLLER,2001,Austria,AT9070008558,NA,AT,0
42048,HABAU HOCH- UND TIEFBAUGESELLSCHAFT M.B.H.,2001,Austria,AT9070008932,NA,AT,0
42167,ITEM INTERNATIONAL HANDEL GMBH,2001,Austria,AT9070009684,NA,AT,0
42280,LINZ TEXTIL HOLDING AG,2001,Austria,AT9070010090,NA,AT,1
42674,RECHBERGER GESELLSCHAFT M.B.H. & CO. KG.,2001,Austria,AT9070012429,NA,AT,0
42844,,2001,Austria,AT9070013861,NA,AT,0
43034,TRANSDANUBIA HOLDING GMBH,2001,Austria,AT9070015802,NA,AT,0
43112,,2001,Austria,AT9070016353,NA,AT,0
43189,MEINHART KABEL GESELLSCHAFT M.B.H.,2001,Austria,AT9070016857,NA,AT,0
43231,,2001,Austria,AT9070017409,NA,AT,0
43249,DOUBRAVA GESELLSCHAFT M.B.H. & CO. KG,2001,Austria,AT9070017505,NA,AT,0
43462,ELFRIEDE LÖFFLER GESELLSCHAFT M.B.H.,2001,Austria,AT9070019511,NA,AT,1
43563,MIBA AG,2001,Austria,AT9070019858,NA,AT,1
43831,EKB ELEKTRO- U. KUNSTSTOFFTECHNIK GESELLSCHAFT M.B.H.,2001,Austria,AT9070021586,NA,AT,1
43848,,2001,Austria,AT9070021621,NA,AT,0
43967,HYDRO ALUMINIUM MANDL&BERGER GMBH,2001,Austria,AT9070022368,NA,AT,1
44308,INNVIERTLER LAGERHAUSGENOSSENSCHAFT REGISTRIERTE GENOSSENSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9070024754,NA,AT,0
45199,HUBERS LANDHENDL GMBH,2001,Austria,AT9070031162,NA,AT,1
45491,,2001,Austria,AT9070033507,NA,AT,0
45691,DOPPLER MINERALÖLE GESELLSCHAFT M.B.H.,2001,Austria,AT9070035201,NA,AT,0
45788,SCHACHINGER LOGISTIK HOLDING GMBH & CO KG,2001,Austria,AT9070035994,NA,AT,0
45999,,2001,Austria,AT9070037189,NA,AT,0
46352,,2001,Austria,AT9070039987,NA,AT,0
46387,TEUFELBERGER SEIL GESELLSCHAFT M.B.H.,2001,Austria,AT9070040116,NA,AT,1
46422,,2001,Austria,AT9070040168,NA,AT,0
46452,A. NUßBAUMER TRANSPORTGESELLSCHAFT M.B.H.,2001,Austria,AT9070040260,NA,AT,0
46624,LINDE FÖRDERTECHNIK GMBH,2001,Austria,AT9070040986,NA,AT,0
46733,LINDE GAS GMBH,2001,Austria,AT9070042444,NA,AT,0
46766,GMUNDNER MOLKEREI REG. GENOSSENSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9070042750,NA,AT,1
46890,EUROFOAM GMBH,2001,Austria,AT9070043927,NA,AT,1
47543,,2001,Austria,AT9070051519,NA,AT,0
47945,,2001,Austria,AT9070056100,NA,AT,0
48181,ZEILBERGER FRUIT-SERVICE AG,2001,Austria,AT9070058100,NA,AT,0
48239,VA TECHNOLOGIE AG,2001,Austria,AT9070058740,NA,AT,1
48628,FABASOFT AG,2001,Austria,AT9070062661,NA,AT,0
48800,BERGLANDMILCH REGISTRIERTE GENOSSENSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9070064401,NA,AT,1
49620,JOWOOD PRODUCTIONS SOFTWARE AG,2001,Austria,AT9070073036,NA,AT,0
51090,VOESTALPINE STAHLHANDEL GMBH,2001,Austria,AT9070085857,NA,AT,0
51258,LANDHOF GESMBH & CO KG,2001,Austria,AT9070087468,NA,AT,1
52013,"AGRU" KUNSTSTOFFTECHNIK GESELLSCHAFT M.B.H.,2001,Austria,AT9070093889,NA,AT,0
52243,GLS BAU UND MONTAGE G.M.B.H.,2001,Austria,AT9070095932,NA,AT,0
52893,ALLGEMEINE FONDSBERATUNG GMBH,2001,Austria,AT9070101084,NA,AT,0
52901,EISEN WAGNER GESELLSCHAFT M.B.H,2001,Austria,AT9070101140,NA,AT,0
52963,,2001,Austria,AT9070101554,NA,AT,0
53090,KEBA AG,2001,Austria,AT9070102770,NA,AT,0
53223,E. HAWLE ARMATURENWERKE GMBH,2001,Austria,AT9070103644,NA,AT,1
53266,SCHEUCH GMBH,2001,Austria,AT9070103945,NA,AT,1
